City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,wagar,16.1525,36.2032,34.81,23,6,2.52,SD,1717472083
153,thunder bay,48.4001,-89.3168,11.99,94,40,3.6,CA,1717471790
154,nova sintra,14.8667,-24.7167,24.58,76,97,8.01,CV,1717471785
155,hobyo,5.3505,48.5268,27.07,78,96,10.26,SO,1717472084
156,klyuchi,52.2667,79.1667,18.4,69,100,7.19,RU,1717472084
157,carnarvon,-24.8667,113.6333,22.45,43,0,5.21,AU,1717472085
158,west island,-12.1568,96.8225,29.99,79,31,6.69,CC,1717472085
159,belmonte,-15.8631,-38.8828,22.56,90,87,2.45,BR,1717472085
160,escarcega,18.6089,-90.7454,28.79,53,16,1.94,MX,1717471909
161,hudiksvall,61.729,17.1036,10.42,68,3,2.69,SE,1717472086
162,jinghong,21.991,100.7341,30.59,56,56,1.25,CN,1717472086
163,hawaiian paradise park,19.5933,-154.9731,25.73,84,100,3.6,US,1717472086
164,nemuro,43.3236,145.575,7.99,89,82,4.42,JP,1717472086
165,vilhena,-12.7406,-60.1458,20.02,68,100,1.04,BR,1717472087
166,mukalla,14.5425,49.1242,30.0,69,32,0.49,YE,1717472087
167,nagato,34.3833,131.2,23.44,71,5,8.02,JP,1717472087
168,la ronge,55.1001,-105.2842,14.14,67,100,5.14,CA,1717472087
169,mata-utu,-13.2816,-176.1745,27.81,75,13,7.83,WF,1717472087
170,monrovia,6.3005,-10.7969,25.87,87,100,1.31,LR,1717472088
171,ad darb,17.7229,42.2526,31.56,59,0,1.37,SA,1717472088
172,al ghayzah,16.2079,52.176,29.88,65,42,2.02,YE,1717472088
173,polyarnyy,69.1989,33.4478,10.82,87,91,1.33,RU,1717471983
174,tangalle,6.024,80.7911,29.09,77,65,4.96,LK,1717472088
175,lucas,41.6501,-83.6666,20.29,80,0,2.06,US,1717472089
176,vorgashor,67.5833,63.95,-3.44,85,88,1.19,RU,1717472089
177,chonchi,-42.6128,-73.8092,7.56,97,100,2.73,CL,1717471901
178,punta del este,-34.9667,-54.95,9.93,78,75,1.54,UY,1717471902
179,nagqu,31.5,92.0,7.63,20,100,3.75,CN,1717472090
180,sao gabriel da cachoeira,-0.1303,-67.0892,23.11,99,100,1.03,BR,1717472090
181,harstad,68.799,16.5293,9.53,90,100,4.92,NO,1717472029
182,ar ruways,24.1103,52.7306,30.1,53,0,1.38,AE,1717472091
183,bafra,41.5678,35.9069,21.96,60,0,2.24,TR,1717472091
184,bamboo flat,11.7,92.7167,31.05,74,40,5.14,IN,1717472091
185,sabang,5.8933,95.3214,28.9,70,100,1.1,ID,1717472091
186,turabah,21.2141,41.6331,30.1,18,0,1.65,SA,1717472091
187,ribeira grande,38.5167,-28.7,15.99,87,12,2.24,PT,1717472092
188,kudahuvadhoo,2.6708,72.8944,28.49,77,93,3.23,MV,1717472092
189,devrek,41.2192,31.9558,17.47,66,55,2.09,TR,1717472092
190,pinarbasi,38.7229,36.3931,17.31,52,0,1.63,TR,1717472092
191,xining,36.6167,101.7667,17.6,45,4,3.44,CN,1717472092
192,mana,5.6592,-53.7767,25.68,89,100,4.0,GF,1717472093
193,arraial do cabo,-22.9661,-42.0278,21.83,85,5,4.32,BR,1717471893
194,hithadhoo,-0.6,73.0833,28.68,73,17,3.6,MV,1717472093
195,freetown,8.484,-13.2299,27.84,78,40,3.09,SL,1717472093
196,saint-francois,46.4154,3.9054,8.14,95,100,0.0,FR,1717472093
197,buta,2.7858,24.73,21.1,99,100,0.53,CD,1717472094
198,kourou,5.1552,-52.6478,26.03,89,100,2.22,GF,1717472094
199,ilha de mocambique,-15.0342,40.7358,25.45,77,6,2.07,MZ,1717472094
200,kimbe,-5.5502,150.1429,30.15,72,77,2.67,PG,1717472094
201,crane,31.3974,-102.3501,31.85,7,28,3.55,US,1717472095
202,uturoa,-16.7333,-151.4333,27.24,80,100,6.97,PF,1717472095
203,malango,-2.9627,119.9001,21.72,91,100,0.65,ID,1717472095
204,klaksvik,62.2266,-6.589,5.51,74,81,10.11,FO,1717472095
205,trairi,-3.2778,-39.2689,24.69,91,5,2.52,BR,1717471878
206,bokhan,53.153,103.7714,19.96,52,94,4.1,RU,1717472096
207,kargasok,59.0556,80.8572,9.42,40,4,4.47,RU,1717472015
208,aberdeen,57.1437,-2.0981,11.78,73,100,3.6,GB,1717471935
209,autazes,-3.5797,-59.1306,23.93,97,85,0.98,BR,1717472096
210,enewetak,11.3474,162.3373,27.62,84,100,6.88,MH,1717472096
211,dimbokro,6.6451,-4.7048,22.88,98,91,1.56,CI,1717472097
212,isafjordur,66.0755,-23.124,0.8,69,99,4.74,IS,1717472097
213,lucapa,-8.4192,20.7447,18.39,52,28,1.33,AO,1717472097
214,yelizovo,53.1873,158.3805,17.08,42,0,7.0,RU,1717472097
215,luderitz,-26.6481,15.1594,12.04,77,2,2.48,NA,1717472098
216,santana,-0.0583,-51.1817,27.1,89,100,2.06,BR,1717472098
217,irati,-25.4672,-50.6511,12.64,99,1,0.77,BR,1717471814
218,nazyvayevsk,55.5698,71.3529,10.86,72,49,3.64,RU,1717472099
219,ambon,-3.6954,128.1814,29.08,79,40,1.03,ID,1717472099
220,tambopata,-12.7333,-69.1833,20.44,81,27,1.01,PE,1717472099
221,mejit,10.2753,170.8646,28.14,79,100,8.69,MH,1717472099
222,jawhar,2.7809,45.5005,25.79,84,20,6.05,SO,1717472100
223,haiku-pauwela,20.9219,-156.3051,26.23,80,40,10.29,US,1717471990
